Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,100,19.57247234,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,100,20.19970674,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,100,314.4967845,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,100,294.9259191,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,100,810301.2777,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,100,609249.0394,350,336,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,100,-2815.858322,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,100,-3024.06536,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,100,826.8444121,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,100,780.6753518,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
