Setting,ProbName,n,m,f0,fmin (approx)
1,Ackley_100d_bounds_-30.0_30.0,100,1,21,0
2,Ackley_100d_bounds_-30.0_30.0,100,1,21,0
3,Levy_100d_bounds_-10.0_10.0,100,1,400.3391767,0
4,Levy_100d_bounds_-10.0_10.0,100,1,400.3391767,0
5,Rosenbrock_100d_bounds_-5.0_10.0,100,1,7713043.587,0
6,Rosenbrock_100d_bounds_-5.0_10.0,100,1,7381890.588,0
7,Styblinski-Tang_100d_bounds_-5.0_5.0,100,1,-1100,-3916.599
8,Styblinski-Tang_100d_bounds_-5.0_5.0,100,1,-1100,-3916.599
9,Rastrigin_100d_bounds_-5.12_5.12,100,1,1600,0
10,Rastrigin_100d_bounds_-5.12_5.12,100,1,1700,0
