Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,100,0.371539645,350,16,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,100,0.424997125,350,17,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,100,0.239679116,350,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,100,0.021053857,350,8,66,66,-1,-1,-1,-1,-1,-1,-1
5,100,50.67303141,350,1,8,8,-1,-1,-1,-1,-1,-1,-1
6,100,55.22007419,350,1,12,21,-1,-1,-1,-1,-1,-1,-1
7,100,-3915.913611,350,11,25,78,-1,-1,-1,-1,-1,-1,-1
8,100,-3916.071781,350,13,32,32,-1,-1,-1,-1,-1,-1,-1
9,100,102.4937393,350,24,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,100,102.3907469,350,11,-1,-1,-1,-1,-1,-1,-1,-1,-1
