Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,100,0.345711198,350,24,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,100,0.692033307,350,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,100,0.011477011,350,6,11,15,81,-1,-1,-1,-1,-1,-1
4,100,0.029380603,350,13,21,-1,-1,-1,-1,-1,-1,-1,-1
5,100,28.32263672,350,1,1,14,30,-1,-1,-1,-1,-1,-1
6,100,54.21594343,350,1,2,2,133,-1,-1,-1,-1,-1,-1
7,100,-3916.163685,350,26,26,26,-1,-1,-1,-1,-1,-1,-1
8,100,-3916.383425,350,14,14,14,-1,-1,-1,-1,-1,-1,-1
9,100,2.070986272,350,1,21,-1,-1,-1,-1,-1,-1,-1,-1
10,100,7.705084185,350,25,45,-1,-1,-1,-1,-1,-1,-1,-1
