Setting,ProbName,n,m,f0,fmin (approx)
1,Ackley_100d_bounds_-30.0_30.0,100,1,18.82215751,0
2,Ackley_100d_bounds_-30.0_30.0,100,1,16.83762684,0
3,Levy_100d_bounds_-10.0_10.0,100,1,151.3973477,0
4,Levy_100d_bounds_-10.0_10.0,100,1,14.21868778,0
5,Rosenbrock_100d_bounds_-5.0_10.0,100,1,1278544.597,0
6,Rosenbrock_100d_bounds_-5.0_10.0,100,1,812481.8096,0
7,Styblinski-Tang_100d_bounds_-5.0_5.0,100,1,-1171.74347,-3916.599
8,Styblinski-Tang_100d_bounds_-5.0_5.0,100,1,-2102.76538,-3916.599
9,Rastrigin_100d_bounds_-5.12_5.12,100,1,1350.808129,0
10,Rastrigin_100d_bounds_-5.12_5.12,100,1,1884.647212,0
