Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,100,0.321590723,350,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,100,0.320533566,350,40,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,100,0.006476585,350,3,148,149,-1,-1,-1,-1,-1,-1,-1
4,100,0.00671048,350,18,18,95,-1,-1,-1,-1,-1,-1,-1
5,100,7.446920931,350,10,60,-1,-1,-1,-1,-1,-1,-1,-1
6,100,7.516841714,350,12,26,27,-1,-1,-1,-1,-1,-1,-1
7,100,-3916.374049,350,13,41,41,81,-1,-1,-1,-1,-1,-1
8,100,-3916.373931,350,15,22,22,-1,-1,-1,-1,-1,-1,-1
9,100,101.4267027,350,14,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,100,1.41485435,350,7,20,-1,-1,-1,-1,-1,-1,-1,-1
