Setting,ProbName,n,m,f0,fmin (approx)
1,Ackley_100d_bounds_-30.0_30.0,100,1,11.41758205,0
2,Ackley_100d_bounds_-30.0_30.0,100,1,18.52565374,0
3,Levy_100d_bounds_-10.0_10.0,100,1,37.19113158,0
4,Levy_100d_bounds_-10.0_10.0,100,1,58.53380499,0
5,Rosenbrock_100d_bounds_-5.0_10.0,100,1,3469.114717,0
6,Rosenbrock_100d_bounds_-5.0_10.0,100,1,32667.9305,0
7,Styblinski-Tang_100d_bounds_-5.0_5.0,100,1,-298.7254026,-3916.599
8,Styblinski-Tang_100d_bounds_-5.0_5.0,100,1,-3520.877769,-3916.599
9,Rastrigin_100d_bounds_-5.12_5.12,100,1,1199.723764,0
10,Rastrigin_100d_bounds_-5.12_5.12,100,1,1075.450017,0
