Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,2,0.896244689209102,150,4,73,-1,-1,-1,-1,-1,-1,-1,-1
2,2,0.6964350827414127,150,4,77,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1.3785049741789053,200,10,13,48,138,-1,-1,-1,-1,-1,-1
4,3,4.8561095815745565,200,10,14,47,175,-1,-1,-1,-1,-1,-1
5,3,-3.8757566233176552,200,38,51,78,78,78,78,78,78,78,78
6,3,-3.871417423565709,200,12,37,51,52,52,52,52,52,52,52
7,6,-2.419671034163043,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,6,-2.6793649524483114,350,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,4,-4.614498902477221,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,4,-10.137679960417898,250,245,245,-1,-1,-1,-1,-1,-1,-1,-1
11,5,7.094422246361069,300,239,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,5,7.652508293815719,300,219,-1,-1,-1,-1,-1,-1,-1,-1,-1
