Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,2,0.8696619305953814,150,17,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,0.0083756791543655,150,4,18,45,-1,-1,-1,-1,-1,-1,-1
3,3,0.3330561522531944,200,17,38,56,56,-1,-1,-1,-1,-1,-1
4,3,0.4137241126466542,200,38,55,111,-1,-1,-1,-1,-1,-1,-1
5,3,-3.874601206593268,200,5,10,12,12,12,12,12,12,12,12
6,3,-3.876537665857306,200,19,22,22,22,22,22,22,22,22,22
7,6,-3.3464736391375287,350,13,22,26,26,26,26,26,26,26,26
8,6,-3.3323923601401324,350,14,22,26,26,26,26,26,26,26,26
9,4,-5.421164218386157,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,4,-3.851544499986375,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,5,22.511415679109188,300,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,5,19.805261503602047,300,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
