Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,2,0.1025401428060295,150,24,35,-1,-1,-1,-1,-1,-1,-1,-1
2,2,0.0763276475740341,150,3,9,107,-1,-1,-1,-1,-1,-1,-1
3,3,9.739789296289072,200,66,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,3,4.3683900102409465,200,39,47,-1,-1,-1,-1,-1,-1,-1,-1
5,3,-3.886825333119481,200,5,15,50,50,69,69,69,69,69,69
6,3,-3.8876758531783433,200,47,68,68,68,68,68,68,68,68,68
7,6,-3.329339042980867,350,11,61,62,62,62,62,62,62,62,62
8,6,-3.308178177676508,350,10,39,-1,-1,-1,-1,-1,-1,-1,-1
9,4,-10.076310020848368,250,23,41,-1,-1,-1,-1,-1,-1,-1,-1
10,4,-7.24166808003291,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,5,6.169328557619512,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,5,12.688966569357394,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
