Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,2,0.7077529570257611,150,4,65,-1,-1,-1,-1,-1,-1,-1,-1
2,2,0.7077529570257611,150,4,65,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1.4411235700192957,200,10,13,54,141,-1,-1,-1,-1,-1,-1
4,3,1.4411235700192957,200,10,13,54,141,-1,-1,-1,-1,-1,-1
5,3,-3.862780206732389,200,47,71,87,102,117,117,117,117,117,117
6,3,-3.862780206732389,200,47,71,87,102,117,117,117,117,117,117
7,6,-3.3222864833602865,350,76,86,92,135,-1,-1,-1,-1,-1,-1
8,6,-3.3222864833602865,350,76,86,92,135,-1,-1,-1,-1,-1,-1
9,4,-10.153178359843263,250,188,195,196,200,200,-1,-1,-1,-1,-1
10,4,-10.153178359843263,250,188,195,196,200,200,-1,-1,-1,-1,-1
11,5,10.799952001048474,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,5,10.799952001048474,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
