Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,2,0.033853631,150,57,90,-1,-1,-1,-1,-1,-1,-1,-1
2,2,0.221126222,150,3,9,11,47,-1,-1,-1,-1,-1,-1
3,3,0.179537149,200,3,5,45,67,157,-1,-1,-1,-1,-1
4,3,0.795783878,200,63,154,-1,-1,-1,-1,-1,-1,-1,-1
5,3,-3.862728738,200,7,9,17,22,-1,-1,-1,-1,-1,-1
6,3,-3.862745629,200,9,12,16,-1,-1,-1,-1,-1,-1,-1
7,6,-3.322245454,350,61,65,72,236,-1,-1,-1,-1,-1,-1
8,6,-3.322173755,350,16,22,26,52,-1,-1,-1,-1,-1,-1
9,4,-10.1429843,250,62,188,-1,-1,-1,-1,-1,-1,-1,-1
10,4,-10.12967875,250,199,199,-1,-1,-1,-1,-1,-1,-1,-1
11,5,0.081192937,300,184,274,-1,-1,-1,-1,-1,-1,-1,-1
12,5,0.040348256,300,157,250,267,-1,-1,-1,-1,-1,-1,-1
