Setting,n,fmin,nf,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,tau10
1,2,0.1268879263576213,150,15,15,-1,-1,-1,-1,-1,-1,-1,-1
2,2,0.4557639651883302,150,2,3,-1,-1,-1,-1,-1,-1,-1,-1
3,3,5.6625750332585625,200,23,148,-1,-1,-1,-1,-1,-1,-1,-1
4,3,6.215544387642908,200,17,48,-1,-1,-1,-1,-1,-1,-1,-1
5,3,-3.861126327924123,200,7,30,-1,-1,-1,-1,-1,-1,-1,-1
6,3,-3.8616117808325705,200,35,53,-1,-1,-1,-1,-1,-1,-1,-1
7,6,-3.320628096345144,350,35,67,126,-1,-1,-1,-1,-1,-1,-1
8,6,-3.31428909174097,350,152,183,-1,-1,-1,-1,-1,-1,-1,-1
9,4,-6.395755921689995,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,4,-10.046797350745528,250,16,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,5,8.19523299471635,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,5,6.175084107064393,300,266,-1,-1,-1,-1,-1,-1,-1,-1,-1
